City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,senanga,-16.1167,23.2667,60.75,38,0,5.75,ZM,1685056283
318,mount horeb,43.0086,-89.7385,69.76,55,0,9.28,US,1685056550
319,pitimbu,-7.4706,-34.8086,77.59,76,85,12.39,BR,1685056550
320,korla,41.7597,86.1469,63.05,30,69,5.95,CN,1685056550
321,gbongan,7.4667,4.35,74.64,97,66,2.84,NG,1685056550
322,esperantina,-3.9017,-42.2336,76.84,83,49,4.63,BR,1685056551
323,barranca,-10.75,-77.7667,71.22,75,74,10.89,PE,1685056270
324,susuman,62.7833,148.1667,43.11,49,24,3.78,RU,1685056289
325,khandyga,62.6667,135.6,49.53,63,77,0.76,RU,1685056239
326,kodinsk,58.6881,99.1844,40.59,78,69,8.86,RU,1685056551
327,egilsstadir,65.2653,-14.3948,46.31,46,0,8.05,IS,1685056551
328,balkh,36.75,67.0,70.74,15,0,10.04,AF,1685056552
329,maintirano,-18.0667,44.0167,68.29,75,0,6.71,MG,1685056552
330,hassi messaoud,31.6804,6.0729,75.06,31,0,3.44,DZ,1685056552
331,greenville,35.6127,-77.3663,66.36,73,0,9.22,US,1685056552
332,mahdia,35.5047,11.0622,66.15,77,95,23.73,TN,1685056552
333,les sables-d'olonne,46.6667,-1.8333,57.99,83,3,15.46,FR,1685056553
334,aljezur,37.3191,-8.8033,61.34,90,0,7.34,PT,1685056553
335,chicoana,-25.1009,-65.5331,64.45,65,27,4.05,AR,1685056553
336,castillos,-34.1667,-53.8333,68.22,73,69,7.49,UY,1685056183
337,bamboo flat,11.7,92.7167,78.89,83,20,2.3,IN,1685056229
338,villa gesell,-37.2639,-56.973,64.06,97,100,15.03,AR,1685056553
339,nabire,-3.3667,135.4833,79.36,79,96,3.38,ID,1685056554
340,nybro,56.7446,15.9071,54.05,47,23,7.87,SE,1685056554
341,patterson,37.4716,-121.1297,78.55,43,0,2.01,US,1685056554
342,new ulm,44.3125,-94.4605,80.56,24,0,13.8,US,1685056450
343,vallenar,-28.5708,-70.7581,61.14,59,83,2.44,CL,1685056329
344,sant antoni de portmany,38.9807,1.3036,67.08,84,40,8.05,ES,1685056554
345,bridgewater,44.3835,-64.5155,56.68,67,95,14.97,CA,1685056555
346,pamplona,42.8169,-1.6432,51.98,87,75,3.44,ES,1685056396
347,altai,46.3722,96.2583,39.4,74,100,2.71,MN,1685056555
348,three points,32.0767,-111.3137,97.3,8,4,18.59,US,1685056555
349,bougouni,11.417,-7.479,83.08,58,91,6.55,ML,1685056555
350,xiongzhou,25.1167,114.3,76.95,93,48,2.3,CN,1685056308
351,okhotsk,59.3833,143.3,37.85,82,100,3.24,RU,1685056556
352,souillac,-20.5167,57.5167,73.83,84,100,15.57,MU,1685056556
353,dhidhdhoo,6.8833,73.1,83.75,74,46,10.63,MV,1685056556
354,berdigestyakh,62.0989,126.6992,44.33,46,1,7.47,RU,1685056556
355,san carlos del zulia,9.0,-71.9135,81.16,83,99,1.88,VE,1685056556
356,tindouf,27.6711,-8.1474,73.85,38,0,13.8,DZ,1685056557
357,lionel town,17.8101,-77.2406,82.27,71,11,4.59,JM,1685056557
358,bandon,51.7469,-8.7425,62.19,93,58,5.46,IE,1685056517
359,tumpat,6.1978,102.171,78.78,94,20,2.3,MY,1685056557
360,puerto francisco de orellana,-0.4667,-76.9667,75.92,89,89,0.49,EC,1685056557
361,san sebastian de la gomera,28.0916,-17.1133,68.38,72,0,1.14,ES,1685056558
362,zahedan,29.4963,60.8629,75.11,20,0,4.61,IR,1685056558
363,lyubotyn,49.95,35.9667,56.08,92,27,5.12,UA,1685056558
364,ipilan,8.8431,117.9033,81.05,76,90,0.78,PH,1685056558
